DateTime,S&P 500 Index,Open-to-Close Return,DateTime,Navigator 1,,,
2015-02-16 00:00:00,9,29,0,59,2015-02-16 00:00:00,,
2015-02-23 00:00:00,5,416,0,"4,4E+016",2015-02-23 00:00:00,,
2015-03-02 00:00:00,8,584,0,"3,1E+016",2015-03-02 00:00:00,,
2015-03-09 00:00:00,10,224,0,142,2015-03-09 00:00:00,,
2015-03-16 00:00:00,11,822,0,5199999999999999,2015-03-16 00:00:00,,
2015-03-23 00:00:00,9,28,0,"1,96666666666667E+016",2015-03-23 00:00:00,,
2015-03-30 00:00:00,10,6775,0,1E+016,2015-03-30 00:00:00,,
2015-04-06 00:00:00,6,965999999999999,0,"1,06E+016",2015-04-06 00:00:00,,
2015-04-13 00:00:00,9,175999999999998,0,5600000000000001,2015-04-13 00:00:00,,
2015-04-20 00:00:00,6,148000000000001,0,4800000000000001,2015-04-20 00:00:00,,
2015-04-27 00:00:00,9,744,0,5399999999999999,2015-04-27 00:00:00,,
2015-05-04 00:00:00,9,918000000000001,0,"1,18E+016",2015-05-04 00:00:00,,
2015-05-11 00:00:00,7,494,0,"2,24E+016",2015-05-11 00:00:00,,
2015-05-18 00:00:00,5,4425,0,225,2015-05-18 00:00:00,,
2015-05-25 00:00:00,8,314,0,13,2015-05-25 00:00:00,,
2015-06-01 00:00:00,8,453999999999999,0,27,2015-06-01 00:00:00,,
2015-06-08 00:00:00,8,972,0,7200000000000004,2015-06-08 00:00:00,,
2015-06-15 00:00:00,7,843999999999999,0,312,2015-06-15 00:00:00,,
2015-06-22 00:00:00,6,"9,88E+015",0,6,2015-06-22 00:00:00,,
2015-06-29 00:00:00,9,7125,0,675,2015-06-29 00:00:00,,
2015-07-06 00:00:00,14,428000000000003,0,25,2015-07-06 00:00:00,,
2015-07-13 00:00:00,4,88,0,188,2015-07-13 00:00:00,,
2015-07-20 00:00:00,7,65,0,544,2015-07-20 00:00:00,,
2015-07-27 00:00:00,7,703999999999999,0,"2,32E+016",2015-07-27 00:00:00,,
2015-08-03 00:00:00,9,172,0,4000000000000026,2015-08-03 00:00:00,,
2015-08-10 00:00:00,10,52,0,6999999999999999,2015-08-10 00:00:00,,
2015-08-17 00:00:00,26,35999999999994,-1,8720000000000003,2015-08-17 00:00:00,,
2015-08-24 00:00:00,27,518,0,6960000000000001,2015-08-24 00:00:00,,
2015-08-31 00:00:00,21,185000000000002,0,6475,2015-08-31 00:00:00,,
2015-09-07 00:00:00,16,369999999999997,0,"2,28E+016",2015-09-07 00:00:00,,
2015-09-14 00:00:00,14,982,0,8999999999999997,2015-09-14 00:00:00,,
2015-09-21 00:00:00,15,898,0,806,2015-09-21 00:00:00,,
2015-09-28 00:00:00,18,387999999999998,1,259999999999998,2015-09-28 00:00:00,,
2015-10-05 00:00:00,10,28,0,2879999999999999,2015-10-05 00:00:00,,
2015-10-12 00:00:00,9,163999999999998,0,17,2015-10-12 00:00:00,,
2015-10-19 00:00:00,11,225,0,"3,85E+016",2015-10-19 00:00:00,,
2015-10-26 00:00:00,8,632000000000001,0,7199999999999998,2015-10-26 00:00:00,,
2015-11-02 00:00:00,9,42,0,"2,06E+016",2015-11-02 00:00:00,,
2015-11-09 00:00:00,10,84,0,674,2015-11-09 00:00:00,,
2015-11-16 00:00:00,9,943999999999999,0,616,2015-11-16 00:00:00,,
2015-11-23 00:00:00,6,262499999999999,0,4E+016,2015-11-23 00:00:00,,
2015-11-30 00:00:00,11,584,0,"2,8E+016",2015-11-30 00:00:00,,
2015-12-07 00:00:00,15,552000000000001,0,652,2015-12-07 00:00:00,,
2015-12-14 00:00:00,16,76,0,"1,38E+016",2015-12-14 00:00:00,,
2015-12-21 00:00:00,9,155,0,5725,2015-12-21 00:00:00,,
2015-12-28 00:00:00,9,65,0,175,2015-12-28 00:00:00,,
2016-01-04 00:00:00,20,994,-1,108,2016-01-04 00:00:00,,
2016-01-11 00:00:00,24,369999999999997,0,512,2016-01-11 00:00:00,,
2016-01-18 00:00:00,25,42,0,"1,65E+016",2016-01-18 00:00:00,,
2016-01-25 00:00:00,17,88,0,298,2016-01-25 00:00:00,,
2016-02-01 00:00:00,19,588,0,5700000000000001,2016-02-01 00:00:00,,
2016-02-08 00:00:00,21,86,0,8800000000000001,2016-02-08 00:00:00,,
2016-02-15 00:00:00,12,385,0,5700000000000001,2016-02-15 00:00:00,,
2016-02-22 00:00:00,13,809999999999999,0,252,2016-02-22 00:00:00,,
2016-02-29 00:00:00,11,0,"4,9E+016",2016-02-29 00:00:00,,,
2016-03-07 00:00:00,12,13,0,"2,04E+016",2016-03-07 00:00:00,,
2016-03-14 00:00:00,8,260000000000002,0,"3,56E+016",2016-03-14 00:00:00,,
2016-03-21 00:00:00,7,38,0,4E+016,2016-03-21 00:00:00,,
2016-03-28 00:00:00,8,844,0,294,2016-03-28 00:00:00,,
2016-04-04 00:00:00,11,203999999999999,0,"2,26E+016",2016-04-04 00:00:00,,
2016-04-11 00:00:00,7,44,0,454,2016-04-11 00:00:00,,
2016-04-18 00:00:00,7,62,0,5800000000000001,2016-04-18 00:00:00,,
2016-04-25 00:00:00,9,193999999999999,0,2E+016,2016-04-25 00:00:00,,
2016-05-02 00:00:00,9,606,0,"1,4E+016",2016-05-02 00:00:00,,
2016-05-09 00:00:00,8,51,0,44,2016-05-09 00:00:00,,
2016-05-16 00:00:00,10,87,0,126,2016-05-16 00:00:00,,
2016-05-23 00:00:00,6,800000000000001,0,5025,2016-05-23 00:00:00,,
2016-05-30 00:00:00,7,892,0,118,2016-05-30 00:00:00,,
2016-06-06 00:00:00,7,81999999999999,0,"1,64E+016",2016-06-06 00:00:00,,
2016-06-13 00:00:00,10,738000000000001,0,1399999999999998,2016-06-13 00:00:00,,
2016-06-20 00:00:00,15,447999999999999,0,7620000000000001,2016-06-20 00:00:00,,
2016-06-27 00:00:00,10,3125,1,475,2016-06-27 00:00:00,,
2016-07-04 00:00:00,8,463999999999999,0,"3,14E+016",2016-07-04 00:00:00,,
2016-07-11 00:00:00,6,36,0,"1,64E+016",2016-07-11 00:00:00,,
